measure,core_measure,domains,owner,sub_variable_id,sub_variable,relation,direction,variable,produced,description,units,statistic,scale,notes
2,Global Urban Heat Vulnerability Index (GUHVI),Ambient environment,Carl,,Adaptive capability,direct,higher_is_better,urban_heat_subnational_hdi,True,"Subnational Human Development Index: human well-being assessed through education, health and standard of living",index 0-1,mean,"city, grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
2,Global Urban Heat Vulnerability Index (GUHVI),Ambient environment,Carl,,Adaptive capability,direct,higher_is_better,urban_heat_infant_mortality_rate,True,"Infant mortality rate: deaths of children under 1 year of age per 1000 live births, a key indicator of population health","deaths per 1,000 live births",mean,"city, grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
2,Global Urban Heat Vulnerability Index (GUHVI),Ambient environment,Carl,,Overall vulnerability,direct,lower_is_better,urban_heat_guhvi,True,"Global Urban Heat Vulnerability Index (GUHVI): the equally weighted composite of the Heat Exposure, Heat Sensitivity and Adaptive Capability indices, (HEI + HSI + ACI) / 3",index 0-1,mean,"city, grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
2,Global Urban Heat Vulnerability Index (GUHVI),Ambient environment,Carl,,Overall vulnerability,direct,lower_is_better,urban_heat_guhvi_class,True,"Global Urban Heat Vulnerability Index (GUHVI) class, from 1 (least vulnerable) to 5 (most vulnerable)",class 1-5,category,"city, grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
2,Global Urban Heat Vulnerability Index (GUHVI),Ambient environment,Carl,,Overall vulnerability,direct,lower_is_better,pct_urban_heat_guhvi_class_5_most_vulnerable,True,"Percentage of population in Global Urban Heat Vulnerability Index (GUHVI) class 5, the most vulnerable class",percent,percentage,"city, grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
5,Large Public Open Spaces Accessibility,Ambient environment; Built environment,Juan,"91, 187",Percentage of population with access to LPUGS within 500 m,direct,higher_is_better,pct_access_500m_large_public_green_space_score,True,"Percentage of population with access within 500 m of a large public green space of at least 1 hectare (source: OpenStreetMap, Google Earth Engine)",percent,percentage,"grid, custom: manzanas, custom: condesa_lotes",
5,Large Public Open Spaces Accessibility,Ambient environment; Built environment,Juan,"91, 187",Percentage of population with access to LPUGS within 500 m,direct,higher_is_better,pop_pct_access_500m_large_public_green_space_score,True,"Percentage of population with access within 500 m of a large public green space of at least 1 hectare (source: OpenStreetMap, Google Earth Engine) (population weighted)",percent,percentage,"city, custom: agebs, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
5,Large Public Open Spaces Accessibility,Ambient environment; Built environment,Juan,"91, 187",Percentage of total land area within 500 m of LPUGS,complementary,higher_is_better,pct_access_500m_large_public_green_space_score,True,"Percentage of population with access within 500 m of a large public green space of at least 1 hectare (source: OpenStreetMap, Google Earth Engine)",percent,percentage,"grid, custom: manzanas, custom: condesa_lotes","GHSCI reports the share of the population, and of sample points, not of land area.  In Condesa, which is platted but largely unoccupied, those differ substantially and the distinction matters: a land area share would count the empty lots, a population share effectively will not."
6,Large Public Open Spaces Availability,Ambient environment; Built environment,Juan,"91, 187",Percentage of total land area that is LPUGS,component,higher_is_better,,False,,,,,"The Earth Engine step produces the large_public_urban_green_space polygon layer, but no land area share is written as an indicator column.  The input is supplied; the share is a straightforward derivation from it, and is not currently delivered."
6,Large Public Open Spaces Availability,Ambient environment; Built environment,Juan,"91, 187",Percentage of total land area with annual average NDVI >= 0.2,component,higher_is_better,urban_heat_ndvi,True,"Normalised Difference Vegetation Index (NDVI): a spectral index of vegetation health and greenness (inverted, so that higher values indicate greater heat vulnerability)",index -1 to 1,mean,"city, grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","As above: the lpugs_overall_greenery raster (NDVI >= 0.2) is produced, the area share is not.  urban_heat_ndvi gives mean NDVI per cell, which is a different quantity from the share of land above a threshold."
7,Access to parks,Ambient environment; Built environment,Juan,162,"Access to parks (local, neighbourhood, district, regional)",proxy,higher_is_better,avg_walk_dist_public_open_space_any,True,Average distance (m) along the pedestrian network to the nearest public open space (source: OpenStreetMap),metres,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","GHSCI distinguishes open space by area, not by the park hierarchy the sub-variable names; a local / neighbourhood / district / regional classification would have to come from a municipal inventory."
7,Access to parks,Ambient environment; Built environment,Juan,162,"Access to parks (local, neighbourhood, district, regional)",proxy,higher_is_better,avg_walk_dist_public_open_space_large,True,Average distance (m) along the pedestrian network to the nearest public open space larger than 1.5 hectares (source: OpenStreetMap),metres,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","GHSCI distinguishes open space by area, not by the park hierarchy the sub-variable names; a local / neighbourhood / district / regional classification would have to come from a municipal inventory."
7,Access to parks,Ambient environment; Built environment,Juan,162,Population with access to parks,direct,higher_is_better,pct_access_500m_public_open_space_any_score,True,Percentage of population with access within 500 m of any public open space (source: OpenStreetMap),percent,percentage,"grid, custom: manzanas, custom: condesa_lotes",
7,Access to parks,Ambient environment; Built environment,Juan,162,Population with access to parks,direct,higher_is_better,pct_access_500m_public_open_space_large_score,True,Percentage of population with access within 500 m of a public open space larger than 1.5 hectares (source: OpenStreetMap),percent,percentage,"grid, custom: manzanas, custom: condesa_lotes",
7,Access to parks,Ambient environment; Built environment,Juan,162,Population with access to parks,direct,higher_is_better,pct_access_walk_public_open_space_any_500m,True,Percentage of population with walking access within 500 m to any public open space (source: OpenStreetMap),percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
7,Access to parks,Ambient environment; Built environment,Juan,162,Population with access to parks,direct,higher_is_better,pct_access_walk_public_open_space_large_500m,True,Percentage of population with walking access within 500 m to a public open space larger than 1.5 hectares (source: OpenStreetMap),percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
8,Available natural blue spaces,Ambient environment,Rodolfo,10,Available natural blue spaces,complementary,higher_is_better,pct_access_walk_blue_space_500m,True,"Percentage of population with walking access within 500 m to a natural blue space -- a river, canal, drain, lake, reservoir, wetland, beach or coast (source: OpenStreetMap or custom data)",percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","The workbook specifies an MNDWI-derived score banded by Euclidean distance from water (< 200 m, 200-500 m, 500-1000 m, 1000-1500 m). What is delivered here is network distance to reachable water, which is an accessibility measure rather than an availability one and will not reproduce those bands.  Reported alongside, not instead of. 'blue_space' covers rivers, canals, drains, lakes, wetlands, beaches and coast, including canals mapped as ways, which is most of Mexicali's blue space; 'public_open_space_with_water' is the narrower question of a park that contains water."
8,Available natural blue spaces,Ambient environment,Rodolfo,10,Available natural blue spaces,complementary,higher_is_better,avg_walk_dist_blue_space,True,"Average distance (m) along the pedestrian network to the nearest natural blue space -- a river, canal, drain, lake, reservoir, wetland, beach or coast (source: OpenStreetMap or custom data)",metres,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","The workbook specifies an MNDWI-derived score banded by Euclidean distance from water (< 200 m, 200-500 m, 500-1000 m, 1000-1500 m). What is delivered here is network distance to reachable water, which is an accessibility measure rather than an availability one and will not reproduce those bands.  Reported alongside, not instead of. 'blue_space' covers rivers, canals, drains, lakes, wetlands, beaches and coast, including canals mapped as ways, which is most of Mexicali's blue space; 'public_open_space_with_water' is the narrower question of a park that contains water."
8,Available natural blue spaces,Ambient environment,Rodolfo,10,Available natural blue spaces,complementary,higher_is_better,pct_access_walk_public_open_space_with_water_500m,True,"Percentage of population with walking access within 500 m to a public open space containing water, such as a park with a lake (source: OpenStreetMap)",percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","The workbook specifies an MNDWI-derived score banded by Euclidean distance from water (< 200 m, 200-500 m, 500-1000 m, 1000-1500 m). What is delivered here is network distance to reachable water, which is an accessibility measure rather than an availability one and will not reproduce those bands.  Reported alongside, not instead of. 'blue_space' covers rivers, canals, drains, lakes, wetlands, beaches and coast, including canals mapped as ways, which is most of Mexicali's blue space; 'public_open_space_with_water' is the narrower question of a park that contains water."
8,Available natural blue spaces,Ambient environment,Rodolfo,10,Available natural blue spaces,complementary,higher_is_better,avg_walk_dist_public_open_space_with_water,True,"Average distance (m) along the pedestrian network to the nearest public open space containing water, such as a park with a lake (source: OpenStreetMap)",metres,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","The workbook specifies an MNDWI-derived score banded by Euclidean distance from water (< 200 m, 200-500 m, 500-1000 m, 1000-1500 m). What is delivered here is network distance to reachable water, which is an accessibility measure rather than an availability one and will not reproduce those bands.  Reported alongside, not instead of. 'blue_space' covers rivers, canals, drains, lakes, wetlands, beaches and coast, including canals mapped as ways, which is most of Mexicali's blue space; 'public_open_space_with_water' is the narrower question of a park that contains water."
13,Pedestrian infrastructure presence,Built environment; Mobility & Transport; Safety,Juan,"362, 74",Street connectivity,direct,higher_is_better,local_nh_intersection_density,True,Average walkable neighbourhood intersection density (intersections per km²) of sample points in this area,count per km²,mean,"city, grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
13,Pedestrian infrastructure presence,Built environment; Mobility & Transport; Safety,Juan,,Block size,not_covered,lower_is_better,,False,,,,,
13,Pedestrian infrastructure presence,Built environment; Mobility & Transport; Safety,Juan,75,Sidewalk coverage,not_covered,higher_is_better,,False,,,,,OpenStreetMap sidewalk tagging in Mexicali is too sparse to support this.
14,Public-transport access,Mobility & Transport,Carl,26,Access to public transport stops,proxy,higher_is_better,pct_access_walk_pt_any_500m,True,Percentage of population with walking access within 500 m to any public transport stop (best result of GTFS and OpenStreetMap/custom sources),percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","Mexicali has no GTFS feed, so service frequency cannot be measured and the frequent-stop indicator is not produced.  Per the workbook's own implementation note this is transit-stop proximity, not transit access, and must be labelled as such.  Stops come from the IMIP equipamiento layer pooled with OpenStreetMap."
14,Public-transport access,Mobility & Transport,Carl,26,Access to public transport stops,proxy,higher_is_better,avg_walk_dist_pt_any,True,Average distance (m) along the pedestrian network to the nearest public transport stop (best result of GTFS and OpenStreetMap/custom sources),metres,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","Mexicali has no GTFS feed, so service frequency cannot be measured and the frequent-stop indicator is not produced.  Per the workbook's own implementation note this is transit-stop proximity, not transit access, and must be labelled as such.  Stops come from the IMIP equipamiento layer pooled with OpenStreetMap."
14,Public-transport access,Mobility & Transport,Carl,223,Access to co-location of recreational areas with public transport,not_covered,higher_is_better,,False,,,,,"The activity centre machinery answers exactly this shape of question -- a location whose own walkable catchment reaches every required category -- but none of the five definitions configured for Mexicali pairs recreation with public transport.  Adding one is a single configuration entry; it has not been agreed, so it is not claimed. The nearest existing measures are the civic centre (community, culture, sport) and the jobs centre, which does include public transport."
15,Daily essential-services access,Social infrastructure; Mobility & Transport; Economic development,Carl,"129, 11, 367",Access to fresh food,direct,higher_is_better,pct_access_walk_denue_fresh_food_500m,True,Percentage of population with walking access within 500 m to 'denue fresh food' (custom destination),percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
15,Daily essential-services access,Social infrastructure; Mobility & Transport; Economic development,Carl,"129, 11, 367",Access to fresh food,direct,higher_is_better,avg_walk_dist_denue_fresh_food,True,Average distance (m) along the pedestrian network to the nearest 'denue fresh food' (custom destination),metres,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
15,Daily essential-services access,Social infrastructure; Mobility & Transport; Economic development,Carl,"129, 11, 367",Percentage of population with access to fresh food,direct,higher_is_better,pop_pct_access_walk_denue_fresh_food_500m,True,Percentage of population with walking access within 500 m to 'denue fresh food' (custom destination) (population weighted),percent,percentage,city,
15,Daily essential-services access,Social infrastructure; Mobility & Transport; Economic development,Carl,"129, 11, 367",Diversity of available fresh food,direct,higher_is_better,avg_diversity_walk_fresh_food_500m,True,"Average diversity (0-1) of the 'fresh food' destination sub-types reachable within 500 m along the pedestrian network: the Shannon entropy of the counts of each sub-type, normalised by the number of sub-types defined, so that 1 is an even spread across all of them and 0 is one sub-type only, or nothing reachable at all",index 0-1,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","Normalised Shannon entropy over seven sub-types: meat, produce, grains and spices, dairy, supermarket, minisuper, and bakeries and tortillerias.  The last is a category added for this: SCIAN classifies panificacion and tortillerias as manufacturing, so they sat outside every 46xx food code and were invisible to the food indicators, although the workbook names them as fresh food."
15,Daily essential-services access,Social infrastructure; Mobility & Transport; Economic development,Carl,"129, 11, 367",Diversity of available fresh food,direct,higher_is_better,avg_diversity_walk_fresh_food_1000m,True,"Average diversity (0-1) of the 'fresh food' destination sub-types reachable within 1000 m along the pedestrian network: the Shannon entropy of the counts of each sub-type, normalised by the number of sub-types defined, so that 1 is an even spread across all of them and 0 is one sub-type only, or nothing reachable at all",index 0-1,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","Normalised Shannon entropy over seven sub-types: meat, produce, grains and spices, dairy, supermarket, minisuper, and bakeries and tortillerias.  The last is a category added for this: SCIAN classifies panificacion and tortillerias as manufacturing, so they sat outside every 46xx food code and were invisible to the food indicators, although the workbook names them as fresh food."
15,Daily essential-services access,Social infrastructure; Mobility & Transport; Economic development,Carl,"129, 11, 367",Diversity of available fresh food,direct,higher_is_better,avg_richness_walk_fresh_food_500m,True,Average share (0-1) of the 'fresh food' destination sub-types with at least one destination reachable within 500 m along the pedestrian network,index 0-1,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","Normalised Shannon entropy over seven sub-types: meat, produce, grains and spices, dairy, supermarket, minisuper, and bakeries and tortillerias.  The last is a category added for this: SCIAN classifies panificacion and tortillerias as manufacturing, so they sat outside every 46xx food code and were invisible to the food indicators, although the workbook names them as fresh food."
15,Daily essential-services access,Social infrastructure; Mobility & Transport; Economic development,Carl,"129, 11, 367",Diversity of available fresh food,direct,higher_is_better,avg_count_walk_fresh_food__meat_500m,True,"Average number of 'meat' destinations, a sub-type of 'fresh food', reachable within 500 m along the pedestrian network",count,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","Normalised Shannon entropy over seven sub-types: meat, produce, grains and spices, dairy, supermarket, minisuper, and bakeries and tortillerias.  The last is a category added for this: SCIAN classifies panificacion and tortillerias as manufacturing, so they sat outside every 46xx food code and were invisible to the food indicators, although the workbook names them as fresh food."
15,Daily essential-services access,Social infrastructure; Mobility & Transport; Economic development,Carl,"129, 11, 367",Diversity of available fresh food,direct,higher_is_better,avg_count_walk_fresh_food__produce_500m,True,"Average number of 'produce' destinations, a sub-type of 'fresh food', reachable within 500 m along the pedestrian network",count,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","Normalised Shannon entropy over seven sub-types: meat, produce, grains and spices, dairy, supermarket, minisuper, and bakeries and tortillerias.  The last is a category added for this: SCIAN classifies panificacion and tortillerias as manufacturing, so they sat outside every 46xx food code and were invisible to the food indicators, although the workbook names them as fresh food."
15,Daily essential-services access,Social infrastructure; Mobility & Transport; Economic development,Carl,"129, 11, 367",Diversity of available fresh food,direct,higher_is_better,avg_count_walk_fresh_food__grains_and_spices_500m,True,"Average number of 'grains and spices' destinations, a sub-type of 'fresh food', reachable within 500 m along the pedestrian network",count,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","Normalised Shannon entropy over seven sub-types: meat, produce, grains and spices, dairy, supermarket, minisuper, and bakeries and tortillerias.  The last is a category added for this: SCIAN classifies panificacion and tortillerias as manufacturing, so they sat outside every 46xx food code and were invisible to the food indicators, although the workbook names them as fresh food."
15,Daily essential-services access,Social infrastructure; Mobility & Transport; Economic development,Carl,"129, 11, 367",Diversity of available fresh food,direct,higher_is_better,avg_count_walk_fresh_food__dairy_500m,True,"Average number of 'dairy' destinations, a sub-type of 'fresh food', reachable within 500 m along the pedestrian network",count,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","Normalised Shannon entropy over seven sub-types: meat, produce, grains and spices, dairy, supermarket, minisuper, and bakeries and tortillerias.  The last is a category added for this: SCIAN classifies panificacion and tortillerias as manufacturing, so they sat outside every 46xx food code and were invisible to the food indicators, although the workbook names them as fresh food."
15,Daily essential-services access,Social infrastructure; Mobility & Transport; Economic development,Carl,"129, 11, 367",Diversity of available fresh food,direct,higher_is_better,avg_count_walk_fresh_food__supermarket_500m,True,"Average number of 'supermarket' destinations, a sub-type of 'fresh food', reachable within 500 m along the pedestrian network",count,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","Normalised Shannon entropy over seven sub-types: meat, produce, grains and spices, dairy, supermarket, minisuper, and bakeries and tortillerias.  The last is a category added for this: SCIAN classifies panificacion and tortillerias as manufacturing, so they sat outside every 46xx food code and were invisible to the food indicators, although the workbook names them as fresh food."
15,Daily essential-services access,Social infrastructure; Mobility & Transport; Economic development,Carl,"129, 11, 367",Diversity of available fresh food,direct,higher_is_better,avg_count_walk_fresh_food__minisuper_500m,True,"Average number of 'minisuper' destinations, a sub-type of 'fresh food', reachable within 500 m along the pedestrian network",count,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","Normalised Shannon entropy over seven sub-types: meat, produce, grains and spices, dairy, supermarket, minisuper, and bakeries and tortillerias.  The last is a category added for this: SCIAN classifies panificacion and tortillerias as manufacturing, so they sat outside every 46xx food code and were invisible to the food indicators, although the workbook names them as fresh food."
15,Daily essential-services access,Social infrastructure; Mobility & Transport; Economic development,Carl,"129, 11, 367",Diversity of available fresh food,direct,higher_is_better,avg_count_walk_fresh_food__bakery_tortilleria_500m,True,"Average number of 'bakery tortilleria' destinations, a sub-type of 'fresh food', reachable within 500 m along the pedestrian network",count,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","Normalised Shannon entropy over seven sub-types: meat, produce, grains and spices, dairy, supermarket, minisuper, and bakeries and tortillerias.  The last is a category added for this: SCIAN classifies panificacion and tortillerias as manufacturing, so they sat outside every 46xx food code and were invisible to the food indicators, although the workbook names them as fresh food."
15,Daily essential-services access,Social infrastructure; Mobility & Transport; Economic development,Carl,132,Access to convenience stores,direct,higher_is_better,pct_access_walk_denue_food_retail_500m,True,Percentage of population with walking access within 500 m to 'denue food retail' (custom destination),percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
15,Daily essential-services access,Social infrastructure; Mobility & Transport; Economic development,Carl,132,Access to convenience stores,direct,higher_is_better,avg_walk_dist_denue_food_retail,True,Average distance (m) along the pedestrian network to the nearest 'denue food retail' (custom destination),metres,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
15,Daily essential-services access,Social infrastructure; Mobility & Transport; Economic development,Carl,169,Access to petrol station (>= 250 m away),direct,higher_is_better,pct_beyond_walk_denue_petrol_station_250m,True,"Percentage of population living further than 250 m along the pedestrian network from the nearest 'denue petrol station' (custom destination); proximity to this destination is a disamenity, so higher is better",percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","A disamenity, so the polarity is carried in the variable name: the share of the population living at least 250 m away, citing evidence of increased relative risk of childhood leukaemia within that distance."
15,Daily essential-services access,Social infrastructure; Mobility & Transport; Economic development,Carl,,Concentration of services within a five minute walk,direct,higher_is_better,pct_access_walk_activity_centre_services_local_500m,True,Percentage of population with walking access within 500 m to an activity centre of the 'services' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","The Mexicali collector-road walkability policy's own wording, measured as a 300 m activity centre across food retail, pharmacy, healthcare, primary school and community facilities."
15,Daily essential-services access,Social infrastructure; Mobility & Transport; Economic development,Carl,,Concentration of services within a five minute walk,direct,higher_is_better,pct_access_walk_activity_centre_services_complete_500m,True,Percentage of population with walking access within 500 m to an activity centre of the 'services' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","The Mexicali collector-road walkability policy's own wording, measured as a 300 m activity centre across food retail, pharmacy, healthcare, primary school and community facilities."
16,"Health, education and care access",Social infrastructure,Carl,"180, 246, 379",Access to educational services,direct,higher_is_better,pct_access_walk_denue_preschool_500m,True,Percentage of population with walking access within 500 m to 'denue preschool' (custom destination),percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
16,"Health, education and care access",Social infrastructure,Carl,"180, 246, 379",Access to educational services,direct,higher_is_better,pct_access_walk_denue_primary_school_500m,True,Percentage of population with walking access within 500 m to 'denue primary school' (custom destination),percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
16,"Health, education and care access",Social infrastructure,Carl,"180, 246, 379",Access to educational services,direct,higher_is_better,pct_access_walk_denue_secondary_school_500m,True,Percentage of population with walking access within 500 m to 'denue secondary school' (custom destination),percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
16,"Health, education and care access",Social infrastructure,Carl,"180, 246, 379",Access to educational services,direct,higher_is_better,pct_access_walk_denue_tertiary_education_500m,True,Percentage of population with walking access within 500 m to 'denue tertiary education' (custom destination),percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
